"TPR","FPR","F1"
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0,0,0
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0,0,0
0.002,0,0.00399201596806387
0,0,0
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0.004,0,0.00796812749003984
0,0.000222222222222222,0
0,0,0
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0,0,0
0.008,0,0.0158730158730159
0,0,0
0,0,0
0,0,0
0.002,0,0.00399201596806387
0,0,0
0,0.000222222222222222,0
0,0,0
0.01,0.000222222222222222,0.0197628458498024
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0,0,0
0,0,0
0,0.000222222222222222,0
0.004,0,0.00796812749003984
0.002,0,0.00399201596806387
0.002,0,0.00399201596806387
0.008,0,0.0158730158730159
0.008,0,0.0158730158730159
0.002,0,0.00399201596806387
0,0,0
0.006,0,0.0119284294234592
0.002,0,0.00399201596806387
0,0,0
0,0,0
0.012,0,0.0237154150197628
0.002,0,0.00399201596806387
0.004,0,0.00796812749003984
0,0,0
0,0,0
